Time:,time(sec),Altitude:,Raw Altitude:,Groundspeed:,Raw Groundspeed:,Dist. to Waypoint,Latitude:,Longitude:,Notes
19-04-07 11:11:01,0,-1,-1.27624676,0,0.193998385,227,34.1755359,-118.4819506,
19-04-07 11:11:01,0,-1,-1.27624676,0,0.193998385,227,34.1755359,-118.4819506,
19-04-07 11:11:02,1,-1,-1.27624676,0,0.193998385,227,34.1755359,-118.4819506,
19-04-07 11:11:02,1,-1,-1.27624676,0,0.193998385,227,34.1755359,-118.4819506,
19-04-07 11:11:02,1,-1,-1.92585308,0,0.342573918,228,34.1755416,-118.48195,
19-04-07 11:11:02,1,-1,-1.92585308,0,0.342573918,228,34.1755416,-118.48195,
19-04-07 11:11:02,1,-1,-1.92585308,0,0.342573918,228,34.1755416,-118.48195,
19-04-07 11:11:03,2,-1,-1.92585308,0,0.342573918,228,34.1755416,-118.48195,
19-04-07 11:11:03,2,-1,-1.92585308,0,0.342573918,228,34.1755416,-118.48195,
19-04-07 11:11:03,2,-1,-1.70275596,0,0.309095584,229,34.1755489,-118.4819528,
19-04-07 11:11:03,2,-1,-1.70275596,0,0.309095584,229,34.1755489,-118.4819528,
19-04-07 11:11:04,3,-1,-1.70275596,0,0.309095584,229,34.1755489,-118.4819528,
19-04-07 11:11:04,3,-1,-1.70275596,0,0.309095584,229,34.1755489,-118.4819528,
19-04-07 11:11:04,3,-1,-1.8700788,0,0.309095584,230,34.1755497,-118.4819538,
19-04-07 11:11:04,3,-1,-1.8700788,0,0.14820238,230,34.1755497,-118.4819538,
19-04-07 11:11:04,3,-1,-1.8700788,0,0.14820238,230,34.1755497,-118.4819538,
19-04-07 11:11:05,4,-1,-1.8700788,0,0.14820238,230,34.1755497,-118.4819538,
19-04-07 11:11:05,4,-1,-1.92585308,0,0.14820238,230,34.1755499,-118.4819535,
19-04-07 11:11:05,4,-1,-1.92585308,0,0.101493869,230,34.1755499,-118.4819535,
19-04-07 11:11:05,4,-1,-1.92585308,0,0.101493869,230,34.1755499,-118.4819535,
19-04-07 11:11:06,5,-1,-1.92585308,0,0.101493869,230,34.1755499,-118.4819535,
19-04-07 11:11:06,5,-1,-1.92585308,0,0.101493869,230,34.1755499,-118.4819535,
19-04-07 11:11:06,5,-1,-1.92585308,0,0.101493869,230,34.1755499,-118.4819535,
19-04-07 11:11:06,5,-2,-2.18503944,0,0.101493869,230,34.1755502,-118.4819541,
19-04-07 11:11:06,5,-2,-2.18503944,0,0.166581397,230,34.1755502,-118.4819541,
19-04-07 11:11:07,6,-2,-2.18503944,0,0.166581397,230,34.1755502,-118.4819541,
19-04-07 11:11:07,6,-1,-1.68635176,0,0.166581397,230,34.1755498,-118.4819546,
19-04-07 11:11:07,6,-1,-1.68635176,0,0.166581397,230,34.1755498,-118.4819546,
19-04-07 11:11:07,6,-1,-1.68635176,0,0.166581397,230,34.1755498,-118.4819546,
19-04-07 11:11:08,7,-1,-1.68635176,0,0.086682961,230,34.1755498,-118.4819546,
19-04-07 11:11:08,7,-1,-1.68635176,0,0.086682961,230,34.1755498,-118.4819546,
19-04-07 11:11:08,7,-2,-2.37204732,0,0.086682961,230,34.1755501,-118.4819556,
19-04-07 11:11:08,7,-2,-2.37204732,0,0.086682961,230,34.1755501,-118.4819556,
19-04-07 11:11:08,7,-2,-2.37204732,0,0.146003677,230,34.1755501,-118.4819556,
19-04-07 11:11:09,8,-2,-2.37204732,0,0.146003677,230,34.1755501,-118.4819556,
19-04-07 11:11:09,8,-2,-2.37204732,0,0.146003677,230,34.1755501,-118.4819556,
19-04-07 11:11:09,8,-1,-1.79790032,0,0.146003677,230,34.1755499,-118.4819556,
19-04-07 11:11:09,8,-1,-1.79790032,0,0.165298005,230,34.1755499,-118.4819556,
19-04-07 11:11:09,8,-1,-1.79790032,0,0.165298005,230,34.1755499,-118.4819556,
19-04-07 11:11:10,9,-1,-1.79790032,0,0.165298005,230,34.1755499,-118.4819556,
19-04-07 11:11:10,9,-1,-1.79790032,0,0.165298005,230,34.1755499,-118.4819556,
19-04-07 11:11:10,9,-2,-2.31627304,0,0.165298005,231,34.1755509,-118.4819563,
19-04-07 11:11:10,9,-2,-2.31627304,0,0.165298005,231,34.1755509,-118.4819563,
19-04-07 11:11:11,10,-2,-2.31627304,0,0.165298005,231,34.1755509,-118.4819563,
19-04-07 11:11:11,10,-2,-2.31627304,0,0.165298005,231,34.1755509,-118.4819563,
19-04-07 11:11:11,10,-2,-2.39173236,0,0.165298005,231,34.1755523,-118.4819576,
19-04-07 11:11:11,10,-2,-2.39173236,0,0.165298005,231,34.1755523,-118.4819576,
19-04-07 11:11:11,10,-2,-2.39173236,0,0.182212669,231,34.1755523,-118.4819576,
19-04-07 11:11:12,11,-2,-2.39173236,0,0.182212669,231,34.1755523,-118.4819576,
19-04-07 11:11:12,11,-1,-1.94553812,0,0.182212669,231,34.1755524,-118.4819579,
19-04-07 11:11:12,11,-1,-1.94553812,0,0.182212669,231,34.1755524,-118.4819579,
19-04-07 11:11:12,11,-1,-1.94553812,0,0.199587506,231,34.1755524,-118.4819579,
19-04-07 11:11:13,12,-1,-1.94553812,0,0.199587506,231,34.1755524,-118.4819579,
19-04-07 11:11:13,12,-1,-1.94553812,0,0.199587506,231,34.1755524,-118.4819579,
19-04-07 11:11:13,12,-2,-2.22440952,0,0.199587506,232,34.1755539,-118.4819591,
19-04-07 11:11:13,12,-2,-2.22440952,0,0.199587506,232,34.1755539,-118.4819591,
19-04-07 11:11:13,12,-2,-2.22440952,0,0.173302894,232,34.1755539,-118.4819591,
19-04-07 11:11:14,13,-2,-2.22440952,0,0.141849856,232,34.1755539,-118.4819591,
19-04-07 11:11:14,13,-2,-2.22440952,0,0.11526106,232,34.1755539,-118.4819591,
19-04-07 11:11:14,13,-2,-2.16863524,0,0.11526106,232,34.1755555,-118.4819607,
19-04-07 11:11:14,13,-2,-2.16863524,0,0.14596893,232,34.1755555,-118.4819607,
19-04-07 11:11:14,13,-2,-2.8543308,0,0.151197744,233,34.1755557,-118.4819611,
19-04-07 11:11:15,14,-2,-2.8543308,0,0.151197744,233,34.1755557,-118.4819611,
19-04-07 11:11:15,14,-2,-2.2801838,0,0.144405994,233,34.1755554,-118.481961,
19-04-07 11:11:15,14,-2,-2.2801838,0,0.144405994,233,34.1755554,-118.481961,
19-04-07 11:11:15,14,-2,-2.59514444,0,0.123823704,233,34.1755554,-118.481961,
19-04-07 11:11:16,15,-2,-2.96587936,0,0.108028069,233,34.1755553,-118.481961,
19-04-07 11:11:16,15,-2,-2.46391084,0,0.108028069,233,34.1755554,-118.481961,
19-04-07 11:11:16,15,-2,-2.33595808,0,0.082592817,233,34.1755553,-118.4819609,
19-04-07 11:11:16,15,-2,-2.55577436,0,0.109789161,233,34.1755553,-118.4819609,
19-04-07 11:11:16,15,-2,-2.55577436,0,0.109789161,233,34.1755553,-118.4819609,
19-04-07 11:11:17,16,-2,-2.55577436,0,0.109789161,233,34.1755553,-118.4819609,
19-04-07 11:11:17,16,-2,-2.68700796,0,0.090165705,232,34.1755553,-118.4819608,
19-04-07 11:11:17,16,-2,-2.68700796,0,0.066249633,232,34.1755553,-118.4819608,
19-04-07 11:11:17,16,-2,-2.296588,0,0.066249633,232,34.1755551,-118.4819607,
19-04-07 11:11:18,17,-2,-2.296588,0,0.07813213,232,34.1755551,-118.4819607,
19-04-07 11:11:18,17,-2,-2.76246728,0,0.07813213,232,34.1755551,-118.4819607,
19-04-07 11:11:18,17,-2,-2.76246728,0,0.07813213,232,34.1755551,-118.4819607,
19-04-07 11:11:18,17,-2,-2.83464576,0,0.078169371,232,34.1755551,-118.4819605,
19-04-07 11:11:18,17,-2,-2.83464576,0,0.059229129,232,34.1755551,-118.4819605,
19-04-07 11:11:19,18,-2,-2.40813656,0,0.059229129,232,34.1755551,-118.4819605,
19-04-07 11:11:19,18,-2,-2.66732292,0,0.061182945,232,34.1755551,-118.4819604,
19-04-07 11:11:19,18,-2,-2.66732292,0,0.061182945,232,34.1755551,-118.4819604,
19-04-07 11:11:19,18,-2,-2.66732292,0,0.061182945,232,34.1755551,-118.4819604,
19-04-07 11:11:20,19,-2,-2.66732292,0,0.185321025,232,34.1755551,-118.4819604,
19-04-07 11:11:20,19,-2,-2.66732292,0,0.185321025,232,34.1755551,-118.4819604,
19-04-07 11:11:20,19,-2,-2.66732292,0,0.154195001,232,34.1755551,-118.4819604,
19-04-07 11:11:20,19,-1,-1.98162736,0,0.154195001,232,34.1755552,-118.4819604,
19-04-07 11:11:20,19,-2,-2.91010508,0,0.120850866,232,34.1755552,-118.4819605,
19-04-07 11:11:21,20,-2,-2.77887148,0,0.156885265,232,34.1755552,-118.4819605,
19-04-07 11:11:21,20,-2,-2.7230972,0,0.156885265,232,34.1755553,-118.4819607,
19-04-07 11:11:21,20,-2,-2.7230972,0,0.166910452,232,34.1755553,-118.4819607,
19-04-07 11:11:21,20,-2,-2.37204732,0,0.166910452,232,34.1755553,-118.4819607,
19-04-07 11:11:22,21,-2,-2.37204732,0,0.166910452,232,34.1755553,-118.4819607,
19-04-07 11:11:22,21,-2,-2.37204732,0,0.136926374,232,34.1755553,-118.4819607,
19-04-07 11:11:22,21,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
19-04-07 11:11:22,21,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
19-04-07 11:11:22,21,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
19-04-07 11:11:23,22,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
19-04-07 11:11:23,22,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
19-04-07 11:11:23,22,-2,-2.16863524,0,0.136926374,233,34.1755554,-118.481961,
